user_id,current_reputation,old_reputation,percent_change
217408,130579,48821,167.46
159072,4023,5676,-29.12
979331,147,487,-69.82
294884,15612,9535,63.73
2860931,96,394,-75.63
4489459,122,230,-46.96
296328,46672,39396,18.47
4924841,911,1112,-18.08
418343,1192,1324,-9.97
726802,2805,3126,-10.27
2336654,30163,379,7858.58
15055,94986,80488,18.01
573032,34515,27566,25.21
5035890,15169,7762,95.43
1709587,24446,14707,66.22
1445366,40787,32201,26.66
2391849,44,625,-92.96
4835480,74,259,-71.43
2050155,86,475,-81.89
3679676,12075,810,1390.74
