question_id,question,day diff between posting and last activity
22571954,Moved old Dot Net Nuke site to new server now get linkclick.aspx not found,951
5571684,python: edit ISO file directly,2033
21160774,GitHub Error: Key already in use,1017
4030806,How to use CSS in ASP.NET application,2195
9301463,How to use Mockito to test SOAP messages?,1717
9363145,Regex for extracting filename from path,1712
25796090,Suppress empty parameters using param tag,778
20683308,Struts2 jQuery plugin Autocompleter widget size,1045
9572852,How do you animate a background position with jQuery?,1700
3889838,WCF discovery: Interface not found exception,2213
